DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
19.19,3664409.13,1248521.0,7307173238.14,0.0
19.19,3664409.13,1248521.0,9512003442.71,0.0
19.17,3664409.13,1248521.0,9788801644.68,0.0
19.22,3664409.13,1248521.0,7564481964.29,0.0
19.18,3664409.13,1248521.0,8992617144.15,0.0
15.0,765096.41,260680.21,7672012987.99,0.0
15.0,0.0,0.0,7086519492.73,0.0
19.18,3664409.13,1248521.0,9270294249.23,0.0
19.17,3664409.13,1248521.0,10449169619.3,0.0
19.18,3664409.13,1248521.0,9671703196.08,0.0
19.18,3664409.13,1248521.0,9300033458.9,0.0
19.16,3664409.13,1248521.0,10346385822.1,0.0
15.0,765096.41,260680.21,8576848353.31,0.0
15.0,0.0,0.0,9607094169.95,0.0
