Date/Time,DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
 01/11  19:00:00,22.0,40268.23,13720.01,560668637.57,0.0
 01/11  20:00:00,16.77,40268.23,13720.01,155210640.73,0.0
 01/11  21:00:00,15.0,20134.12,6860.01,415828099.86,0.0
 01/11  22:00:00,15.0,20134.12,6860.01,422463693.25,0.0
 01/11  23:00:00,15.0,20134.12,6860.01,423758572.35,0.0
 01/11  24:00:00,15.0,20134.12,6860.01,421173290.67,0.0
 01/12  01:00:00,15.0,0.0,0.0,418414727.41,0.0
 01/12  02:00:00,15.0,0.0,0.0,407857274.37,0.0
 01/12  03:00:00,15.0,0.0,0.0,391152870.76,0.0
 01/12  04:00:00,15.0,0.0,0.0,375142325.43,0.0
 01/12  05:00:00,15.0,0.0,0.0,367749824.9,0.0
 01/12  06:00:00,21.91,0.0,0.0,780951116.04,0.0
 01/12  07:00:00,22.0,40268.23,13720.01,521954790.48,0.0
 01/12  08:00:00,22.0,80536.46,27440.02,513780682.95,0.0
 01/12  09:00:00,22.0,382548.21,130340.1,504300874.31,0.0
 01/12  10:00:00,22.0,382548.21,130340.1,494594776.38,0.0
 01/12  11:00:00,22.0,382548.21,130340.1,479810925.01,0.0
 01/12  12:00:00,22.0,382548.21,130340.1,464109107.17,0.0
 01/12  13:00:00,22.0,201341.16,68600.05,448144503.9,0.0
 01/12  14:00:00,22.0,382548.21,130340.1,437303565.03,0.0
 01/12  15:00:00,22.0,382548.21,130340.1,430373301.84,0.0
 01/12  16:00:00,22.0,382548.21,130340.1,423520198.76,0.0
 01/12  17:00:00,22.0,382548.21,130340.1,430312226.7,0.0
 01/12  18:00:00,22.0,120804.7,41160.03,445905858.38,0.0
 01/12  19:00:00,22.0,40268.23,13720.01,461382236.5,0.0
 01/12  20:00:00,17.27,40268.23,13720.01,67326874.62,0.0
 01/12  21:00:00,15.0,20134.12,6860.01,313798917.39,0.0
 01/12  22:00:00,15.0,20134.12,6860.01,319636376.24,0.0
 01/12  23:00:00,15.0,20134.12,6860.01,324995978.96,0.0
 01/12  24:00:00,15.0,20134.12,6860.01,328589473.79,0.0
 01/13  01:00:00,15.0,0.0,0.0,332897888.12,0.0
 01/13  02:00:00,15.0,0.0,0.0,356525894.52,0.0
 01/13  03:00:00,15.0,0.0,0.0,392731218.99,0.0
 01/13  04:00:00,15.0,0.0,0.0,428821687.15,0.0
 01/13  05:00:00,15.0,0.0,0.0,437486483.36,0.0
 01/13  06:00:00,21.91,0.0,0.0,853956629.12,0.0
 01/13  07:00:00,22.0,40268.23,13720.01,590503202.22,0.0
 01/13  08:00:00,22.0,80536.46,27440.02,572428453.23,0.0
 01/13  09:00:00,22.0,382548.21,130340.1,550433259.53,0.0
 01/13  10:00:00,22.0,382548.21,130340.1,528419590.99,0.0
 01/13  11:00:00,22.0,382548.21,130340.1,510015604.55,0.0
 01/13  12:00:00,22.0,382548.21,130340.1,495924143.33,0.0
 01/13  13:00:00,22.0,201341.16,68600.05,481520282.58,0.0
 01/13  14:00:00,22.0,382548.21,130340.1,478361375.53,0.0
 01/13  15:00:00,22.0,382548.21,130340.1,483086238.12,0.0
 01/13  16:00:00,22.0,382548.21,130340.1,487741382.33,0.0
 01/13  17:00:00,22.0,382548.21,130340.1,483246316.24,0.0
 01/13  18:00:00,22.0,120804.7,41160.03,472104351.01,0.0
 01/13  19:00:00,22.0,40268.23,13720.01,461513744.89,0.0
 01/13  20:00:00,17.35,40268.23,13720.01,54304057.94,0.0
 01/13  21:00:00,15.0,20134.12,6860.01,294154203.52,0.0
 01/13  22:00:00,15.0,20134.12,6860.01,293049399.71,0.0
 01/13  23:00:00,15.0,20134.12,6860.01,286368854.15,0.0
 01/13  24:00:00,15.0,20134.12,6860.01,276957330.05,0.0
 01/14  01:00:00,15.0,0.0,0.0,267421732.46,0.0
 01/14  02:00:00,15.0,0.0,0.0,257771992.49,0.0
 01/14  03:00:00,15.0,0.0,0.0,246828537.38,0.0
 01/14  04:00:00,15.0,0.0,0.0,236453550.24,0.0
 01/14  05:00:00,15.0,0.0,0.0,228342539.9,0.0
 01/14  06:00:00,15.0,0.0,0.0,222579479.03,0.0
 01/14  07:00:00,15.0,40268.23,13720.01,216342637.66,0.0
 01/14  08:00:00,15.0,40268.23,13720.01,202121137.82,0.0
 01/14  09:00:00,15.0,120804.7,41160.03,183615138.15,0.0
 01/14  10:00:00,15.0,120804.7,41160.03,165347716.27,0.0
 01/14  11:00:00,15.0,120804.7,41160.03,146862257.31,0.0
 01/14  12:00:00,15.0,120804.7,41160.03,128357723.86,0.0
 01/14  13:00:00,15.0,40268.23,13720.01,110239538.09,0.0
 01/14  14:00:00,15.0,40268.23,13720.01,99184930.03,0.0
 01/14  15:00:00,15.0,40268.23,13720.01,93767907.5,0.0
 01/14  16:00:00,15.0,40268.23,13720.01,87829903.91,0.0
 01/14  17:00:00,15.0,40268.23,13720.01,103408715.07,0.0
 01/14  18:00:00,15.0,0.0,0.0,134065744.9,0.0
 01/14  19:00:00,15.0,0.0,0.0,164516671.18,0.0
 01/14  20:00:00,15.0,0.0,0.0,171447963.6,0.0
 01/14  21:00:00,15.0,0.0,0.0,163216439.28,0.0
 01/14  22:00:00,15.0,0.0,0.0,155474709.15,0.0
 01/14  23:00:00,15.0,0.0,0.0,170137337.35,0.0
 01/14  24:00:00,15.0,0.0,0.0,199452490.19,0.0
 01/15  01:00:00,15.0,0.0,0.0,228410841.59,0.0
 01/15  02:00:00,15.0,0.0,0.0,233309659.68,0.0
 01/15  03:00:00,15.0,0.0,0.0,225555434.87,0.0
 01/15  04:00:00,15.0,0.0,0.0,217148950.18,0.0
 01/15  05:00:00,15.0,0.0,0.0,215125475.68,0.0
 01/15  06:00:00,15.0,0.0,0.0,219044624.61,0.0
 01/15  07:00:00,15.0,0.0,0.0,222334196.28,0.0
 01/15  08:00:00,15.0,0.0,0.0,229053018.33,0.0
 01/15  09:00:00,15.0,0.0,0.0,238417282.29,0.0
 01/15  10:00:00,15.0,0.0,0.0,247949950.19,0.0
 01/15  11:00:00,15.0,0.0,0.0,244191789.83,0.0
 01/15  12:00:00,15.0,0.0,0.0,231117004.45,0.0
 01/15  13:00:00,15.0,0.0,0.0,218762324.01,0.0
 01/15  14:00:00,15.0,0.0,0.0,223224952.64,0.0
 01/15  15:00:00,15.0,0.0,0.0,237298693.47,0.0
 01/15  16:00:00,15.0,0.0,0.0,251479735.8,0.0
 01/15  17:00:00,15.0,0.0,0.0,264389820.25,0.0
 01/15  18:00:00,15.0,0.0,0.0,276389435.32,0.0
 01/15  19:00:00,15.0,0.0,0.0,288525318.13,0.0
 01/15  20:00:00,15.0,0.0,0.0,285665607.07,0.0
 01/15  21:00:00,15.0,0.0,0.0,275416255.69,0.0
 01/15  22:00:00,15.0,0.0,0.0,264693911.96,0.0
 01/15  23:00:00,15.0,0.0,0.0,261993341.03,0.0
 01/15  24:00:00,15.0,0.0,0.0,265959142.63,0.0
 01/16  01:00:00,15.0,0.0,0.0,269408942.67,0.0
 01/16  02:00:00,15.0,0.0,0.0,268913801.52,0.0
 01/16  03:00:00,15.0,0.0,0.0,266694739.09,0.0
 01/16  04:00:00,15.0,0.0,0.0,264407460.22,0.0
 01/16  05:00:00,15.0,0.0,0.0,262185729.96,0.0
 01/16  06:00:00,21.92,0.0,0.0,679140100.09,0.0
 01/16  07:00:00,22.0,40268.23,13720.01,416603290.28,0.0
 01/16  08:00:00,22.0,80536.46,27440.02,413914590.2,0.0
 01/16  09:00:00,22.0,382548.21,130340.1,412562220.55,0.0
 01/16  10:00:00,22.0,382548.21,130340.1,411101493.59,0.0
 01/16  11:00:00,22.0,382548.21,130340.1,399526405.05,0.0
 01/16  12:00:00,22.0,382548.21,130340.1,382142501.61,0.0
 01/16  13:00:00,22.0,201341.16,68600.05,365222298.92,0.0
 01/16  14:00:00,22.0,382548.21,130340.1,358685189.55,0.0
 01/16  15:00:00,22.0,382548.21,130340.1,355152120.84,0.0
 01/16  16:00:00,22.0,382548.21,130340.1,349842628.84,0.0
 01/16  17:00:00,22.0,382548.21,130340.1,352398132.72,0.0
 01/16  18:00:00,22.0,120804.7,41160.03,359641490.32,0.0
 01/16  19:00:00,22.0,40268.23,13720.01,366845269.62,0.0
 01/16  20:00:00,18.12,40268.23,13720.01,0.0,0.0
 01/16  21:00:00,15.0,20134.12,6860.01,187429534.14,0.0
 01/16  22:00:00,15.0,20134.12,6860.01,201331360.05,0.0
 01/16  23:00:00,15.0,20134.12,6860.01,197682319.83,0.0
 01/16  24:00:00,15.0,20134.12,6860.01,191578278.44,0.0
 01/17  01:00:00,15.0,0.0,0.0,186110662.13,0.0
 01/17  02:00:00,15.0,0.0,0.0,181563282.47,0.0
 01/17  03:00:00,15.0,0.0,0.0,175452376.5,0.0
 01/17  04:00:00,15.0,0.0,0.0,169960393.82,0.0
 01/17  05:00:00,15.0,0.0,0.0,179805014.64,0.0
 01/17  06:00:00,21.92,0.0,0.0,615111354.71,0.0
