HOY,xP,yP,zP,xV,yV,zV,,,
514,119338.7816,-152922.2291,48713.93076,-0.596693908,0.764611145,-0.243569654,-200000.00000,-200000,-200000
515,77592.85786,-172013.4762,66262.45097,-0.387964289,0.860067381,-0.331312255,-200000.00000,-200000,-200000
516,30555.80805,-182492.3392,75913.69255,-0.15277904,0.912461696,-0.379568463,-200000.00000,-200000,-200000
517,-18568.52005,-183642.4553,77010.76976,0.0928426,0.918212277,-0.385053849,-200000.00000,-200000,-200000
518,-66433.69246,-175382.9108,69479.48683,0.332168462,0.876914554,-0.347397434,-200000.00000,-200000,-200000
519,-109778.6533,-158273.8307,53833.46351,0.548893267,0.791369153,-0.269167318,-200000.00000,-200000,-200000
520,-145649.9006,-133478.2969,31139.2152,0.728249503,0.667391484,-0.155696076,-200000.00000,-200000,-200000
521,-171602.736,-102683.1848,2943.561931,0.85801368,0.513415924,-0.01471781,-200000.00000,-200000,-200000
537,153297.7298,-125993.7099,25007.82092,-0.766488649,0.62996855,-0.125039105,-200000.00000,-200000,-200000
538,119679.2875,-152460.8463,49320.97413,-0.598396438,0.762304231,-0.246604871,-200000.00000,-200000,-200000
539,77903.27698,-171614.9253,66928.29641,-0.389516385,0.858074626,-0.334641482,-200000.00000,-200000,-200000
540,30814.82292,-182148.6521,76631.03298,-0.154074115,0.910743261,-0.383155165,-200000.00000,-200000,-200000
541,-18378.6759,-183341.8578,77768.8078,0.09189338,0.916709289,-0.388844039,-200000.00000,-200000,-200000
542,-66326.0159,-175110.6347,70264.67991,0.331630079,0.875553173,-0.3513234,-200000.00000,-200000,-200000
543,-109760.4817,-158013.1318,54630.45707,0.548802409,0.790065659,-0.273152285,-200000.00000,-200000,-200000
544,-145722.4119,-133211.6078,31931.89978,0.728612059,0.666058039,-0.159659499,-200000.00000,-200000,-200000
545,-171760.8725,-102393.3234,3716.181308,0.858804363,0.511966617,-0.018580907,-200000.00000,-200000,-200000
561,153642.0269,-125459.3294,25575.07014,-0.768210135,0.627296647,-0.127875351,-200000.00000,-200000,-200000
562,120014.3328,-151992.1021,49949.58276,-0.600071664,0.75996051,-0.249747914,-200000.00000,-200000,-200000
563,78206.04129,-171207.7419,67614.5267,-0.391030206,0.856038709,-0.338072634,-200000.00000,-200000,-200000
564,31064.51546,-181794.6844,77367.23204,-0.155322577,0.908973422,-0.38683616,-200000.00000,-200000,-200000
565,-18199.1799,-183029.0682,78543.93695,0.0909959,0.915145341,-0.392719685,-200000.00000,-200000,-200000
566,-66229.00059,-174824.1242,71065.0764,0.331145003,0.874120621,-0.355325382,-200000.00000,-200000,-200000
567,-109752.55,-157736.1663,55440.77565,0.54876275,0.788680832,-0.277203878,-200000.00000,-200000,-200000
568,-145804.0358,-132926.7707,32736.16917,0.729020179,0.664633854,-0.163680846,-200000.00000,-200000,-200000
569,-171926.366,-102083.7134,4498.902894,0.85963183,0.510418567,-0.022494514,-200000.00000,-200000,-200000
585,153983.0654,-124918.5315,26164.40429,-0.769915327,0.624592658,-0.130822021,-200000.00000,-200000,-200000
586,120343.5775,-151516.0656,50599.45885,-0.601717887,0.757580328,-0.252997294,-200000.00000,-200000,-200000
587,78500.8617,-170791.9339,68320.78758,-0.392504309,0.85395967,-0.341603938,-200000.00000,-200000,-200000
